#module;property;value_type;entity;selection_set_service_method_name;get_name_method_name;get_value_method_name;complete_method_name;jsf converter;picker;name_l10n_key;valid_restrictions
STAFF_DB;staff.tagValues;LONG;;;;;;;;staff.tagValues;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
STAFF_DB;staff.contactDetailValues.value;STRING;;;;;;;;staff.contactDetailValues.value;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
STAFF_DB;staff.contactDetailValues.type.id;LONG;ContactDetailType;getAllContactDetailTypes;getName;getId;;;;staff.contactDetailValues.type.id;EQ, NE
STAFF_DB;staff.contactDetailValues;LONG;;;;;;;;staff.contactDetailValues;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
STAFF_DB;staff.contactDetailValues.na;BOOLEAN;;;;;;;;staff.contactDetailValues.na;EQ, NE
STAFF_DB;staff.files;LONG;;;;;;;;staff.files;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
STAFF_DB;staff.statusEntries.start;TIMESTAMP;;;;;;;;staff.statusEntries.start;EQ, NE, GT, GE, LT, LE
STAFF_DB;staff.statusEntries.start;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;staff.statusEntries.startByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
STAFF_DB;staff.statusEntries.stop;TIMESTAMP;;;;;;;;staff.statusEntries.stop;IS_NULL, EQ, NE, GT, GE, LT, LE
STAFF_DB;staff.statusEntries.stop;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;staff.statusEntries.stopByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
STAFF_DB;staff.statusEntries.type.id;LONG;StaffStatusType;getAllStaffStatusTypes;getName;getId;;;;staff.statusEntries.type.id;EQ, NE
STAFF_DB;staff.statusEntries.type.staffActive;BOOLEAN;;;;;;;;staff.statusEntries.type.staffActive;EQ, NE
STAFF_DB;staff.dutyRosterTurns.trial.id;LONG;;;;;;;TRIAL_DB;staff.dutyRosterTurns.trial.id;EQ, NE
STAFF_DB;staff.dutyRosterTurns.start;TIMESTAMP;;;;;;;;staff.dutyRosterTurns.start;EQ, NE, GT, GE, LT, LE
STAFF_DB;staff.dutyRosterTurns.start;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;staff.dutyRosterTurns.startByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
STAFF_DB;staff.dutyRosterTurns.stop;TIMESTAMP;;;;;;;;staff.dutyRosterTurns.stop;EQ, NE, GT, GE, LT, LE
STAFF_DB;staff.dutyRosterTurns.stop;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;staff.dutyRosterTurns.stopByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
COURSE_DB;course.id;LONG;;;;;;;;course.id;EQ, NE, TRUE
COURSE_DB;course.department.id;LONG;Department;getAllDepartments;getName;getId;;;;course.department.id;EQ, NE, IS_EQ_CONTEXT_USER_DEPARTMENT_ID
COURSE_DB;course.category.id;LONG;CourseCategory;getAllCourseCategories;getName;getId;;;;course.category.id;EQ, NE
COURSE_DB;course.trial.id;LONG;;;;;;;TRIAL_DB;course.trial.id;EQ, NE
COURSE_DB;course.name;STRING;;;;;;;;course.name;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
COURSE_DB;course.stop;DATE;;;;;;;;course.stop;EQ, NE, GT, GE, LT, LE
COURSE_DB;course.stop;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;course.stopByPeriod;IS_EQ_TODAY, IS_NE_TODAY, IS_GT_TODAY, IS_GE_TODAY, IS_LT_TODAY, IS_LE_TODAY, IS_GT_TODAY_PLUS_PERIOD, IS_GE_TODAY_PLUS_PERIOD, IS_EQ_TODAY_PLUS_PERIOD, IS_NE_TODAY_PLUS_PERIOD, IS_LT_TODAY_PLUS_PERIOD, IS_LE_TODAY_PLUS_PERIOD, IS_GT_TODAY_MINUS_PERIOD, IS_GE_TODAY_MINUS_PERIOD, IS_EQ_TODAY_MINUS_PERIOD, IS_NE_TODAY_MINUS_PERIOD, IS_LT_TODAY_MINUS_PERIOD, IS_LE_TODAY_MINUS_PERIOD
COURSE_DB;course.participationDeadline;TIMESTAMP;;;;;;;;course.participationDeadline;EQ, NE, GT, GE, LT, LE
COURSE_DB;course.participationDeadline;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;course.participationByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
COURSE_DB;course.showCvPreset;BOOLEAN;;;;;;;;course.showCvPreset;EQ, NE
COURSE_DB;course.expires;BOOLEAN;;;;;;;;course.expires;EQ, NE
COURSE_DB;course.validityPeriod;STRING;VariablePeriod;getVariablePeriods;getName;getPeriod.name;;;;course.validityPeriod;EQ, NE
COURSE_DB;course.selfRegistration;BOOLEAN;;;;;;;;course.selfRegistration;EQ, NE
COURSE_DB;course.renewals.id;LONG;;;;;;;COURSE_DB;course.renewals.id;EQ, NE
COURSE_DB;course.deferredDelete;BOOLEAN;;;;;;;;course.deferredDelete;EQ, NE
COURSE_DB;course.renewals;LONG;;;;;;;;course.renewals;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
COURSE_DB;course.precedingCourses.id;LONG;;;;;;;COURSE_DB;course.precedingCourses.id;EQ, NE
COURSE_DB;course.precedingCourses;LONG;;;;;;;;course.precedingCourses;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
COURSE_DB;course.lecturers.staff.id;LONG;;;;;;;STAFF_DB;course.lecturers.staff.id;EQ, NE, IS_EQ_CONTEXT_IDENTITY_ID
COURSE_DB;course.lecturers;LONG;;;;;;;;course.lecturers;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
TRIAL_DB;trial.id;LONG;;;;;;;;trial.id;EQ, NE, TRUE
TRIAL_DB;trial.department.id;LONG;Department;getAllDepartments;getName;getId;;;;trial.department.id;EQ, NE, IS_EQ_CONTEXT_USER_DEPARTMENT_ID
TRIAL_DB;trial.name;STRING;;;;;;;;trial.name;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
TRIAL_DB;trial.status.id;LONG;TrialStatusType;getAllTrialStatusTypes;getName;getId;;;;trial.status.id;EQ, NE
TRIAL_DB;trial.type.id;LONG;TrialType;getAllTrialTypes;getName;getId;;;;trial.type.id;EQ, NE
TRIAL_DB;trial.sponsoring.id;LONG;SponsoringType;getAllSponsoringTypes;getName;getId;;;;trial.sponsoring.id;EQ, NE
TRIAL_DB;trial.dutySelfAllocationLocked;BOOLEAN;;;;;;;;trial.dutySelfAllocationLocked;EQ, NE
TRIAL_DB;trial.dutySelfAllocationLockedUntil;TIMESTAMP;;;;;;;;trial.dutySelfAllocationLockedUntil;IS_NULL, EQ, NE, GT, GE, LT, LE
TRIAL_DB;trial.dutySelfAllocationLockedUntil;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;trial.dutySelfAllocationLockedUntilByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
TRIAL_DB;trial.dutySelfAllocationLockedFrom;TIMESTAMP;;;;;;;;trial.dutySelfAllocationLockedFrom;IS_NULL, EQ, NE, GT, GE, LT, LE
TRIAL_DB;trial.dutySelfAllocationLockedFrom;STRING;VariablePeriod;getVariablePeriodsWoExplicit;getName;getPeriod.name;;;;trial.dutySelfAllocationLockedFromByPeriod;IS_EQ_NOW, IS_NE_NOW, IS_GT_NOW, IS_GE_NOW, IS_LT_NOW, IS_LE_NOW, IS_GT_NOW_PLUS_PERIOD, IS_GE_NOW_PLUS_PERIOD, IS_EQ_NOW_PLUS_PERIOD, IS_NE_NOW_PLUS_PERIOD, IS_LT_NOW_PLUS_PERIOD, IS_LE_NOW_PLUS_PERIOD, IS_GT_NOW_MINUS_PERIOD, IS_GE_NOW_MINUS_PERIOD, IS_EQ_NOW_MINUS_PERIOD, IS_NE_NOW_MINUS_PERIOD, IS_LT_NOW_MINUS_PERIOD, IS_LE_NOW_MINUS_PERIOD
TRIAL_DB;trial.exclusiveProbands;BOOLEAN;;;;;;;;trial.exclusiveProbands;EQ, NE
TRIAL_DB;trial.signupProbandList;BOOLEAN;;;;;;;;trial.signupProbandList;EQ, NE
TRIAL_DB;trial.signupInquiries;BOOLEAN;;;;;;;;trial.signupInquiries;EQ, NE
TRIAL_DB;trial.deferredDelete;BOOLEAN;;;;;;;;trial.deferredDelete;EQ, NE
TRIAL_DB;trial.surveyStatus.id;LONG;SurveyStatusType;getAllSurveyStatusTypes;getName;getId;;;;trial.surveyStatus.id;EQ, NE
TRIAL_DB;trial.members.staff.id;LONG;;;;;;;STAFF_DB;trial.members.staff.id;EQ, NE, IS_EQ_CONTEXT_IDENTITY_ID
TRIAL_DB;trial.members.role.id;LONG;TeamMemberRole;getAllTeamMemberRoles;getName;getId;;;;trial.members.role.id;EQ, NE
TRIAL_DB;trial.members;LONG;;;;;;;;trial.members;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
TRIAL_DB;trial.probandListEntries.proband.id;LONG;;;;;;;PROBAND_DB;trial.probandListEntries.proband.id;EQ, NE
TRIAL_DB;trial.probandListEntries;LONG;;;;;;;;trial.probandListEntries;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
TRIAL_DB;trial.tagValues.value;STRING;;;;;;;;trial.tagValues.value;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
TRIAL_DB;trial.tagValues.tag.id;LONG;TrialTag;getAllTrialTags;getName;getId;;;;trial.tagValues.tag.id;EQ, NE
TRIAL_DB;trial.tagValues;LONG;;;;;;;;trial.tagValues;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
TRIAL_DB;trial.dutyRosterTurns;LONG;;;;;;;;trial.dutyRosterTurns;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
TRIAL_DB;trial.courses;LONG;;;;;;;;trial.courses;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
INPUT_FIELD_DB;inputField.id;LONG;;;;;;;;inputField.id;EQ, NE, TRUE
INPUT_FIELD_DB;inputField.nameL10nKey;STRING;;;;;;;;inputField.nameL10nKey;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
#INPUT_FIELD_DB;inputField.timePreset;LONG;;;;;;;;inputField.timePreset_LONG;HOUR_GT,HOUR_LT,MINUTE_GT,MINUTE_LT
#INPUT_FIELD_DB;inputField.timePreset;TIME;;;;;;;;inputField.timePreset_TIME;EQ, GT, LT, NE
INPUT_FIELD_DB;inputField.inquiries.trial.id;LONG;;;;;;;TRIAL_DB;inputField.inquiries.trial.id;EQ, NE
INPUT_FIELD_DB;inputField.listEntryTags.trial.id;LONG;;;;;;;TRIAL_DB;inputField.listEntryTags.trial.id;EQ, NE
INPUT_FIELD_DB;inputField.ecrfFields.trial.id;LONG;;;;;;;TRIAL_DB;inputField.ecrfFields.trial.id;EQ, NE
INPUT_FIELD_DB;inputField.selectionSetValues;LONG;;;;;;;;inputField.selectionSetValues;IS_EMPTY, IS_NOT_EMPTY, SIZE_EQ, SIZE_NE, SIZE_GT, SIZE_GE, SIZE_LT, SIZE_LE
INPUT_FIELD_DB;inputField.selectionSetValues.nameL10nKey;STRING;;;;;;;;inputField.selectionSetValues.nameL10nKey;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
INPUT_FIELD_DB;inputField.selectionSetValues.value;STRING;;;;;completeInputFieldSelectionSetValue;;;inputField.selectionSetValues.value;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
INPUT_FIELD_DB;inputField.fieldType;STRING;InputFieldType;getInputFieldTypes;getName;getType.name;;;;inputField.fieldType;EQ, NE
INPUT_FIELD_DB;inputField.category;STRING;;;;;;;;inputField.category;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
INPUT_FIELD_DB;inputField.deferredDelete;BOOLEAN;;;;;;;;inputField.deferredDelete;EQ, NE
PROBAND_DB;proband.id;LONG;;;;;;;;proband.id;EQ, NE, TRUE
PROBAND_DB;proband.department.id;LONG;Department;getAllDepartments;getName;getId;;;;proband.department.id;EQ, NE, IS_EQ_CONTEXT_USER_DEPARTMENT_ID
PROBAND_DB;proband.category.id;LONG;ProbandCategory;getAllProbandCategories;getName;getId;;;;proband.category.id;EQ, NE
PROBAND_DB;proband.personParticulars.firstNameHash;STRING_HASH;;;;;;;;proband.personParticulars.firstNameHash;EQ, NE
PROBAND_DB;proband.personParticulars.lastNameHash;STRING_HASH;;;;;;;;proband.personParticulars.lastNameHash;EQ, NE
PROBAND_DB;proband.personParticulars.lastNameIndex;STRING;;;;;;;;proband.personParticulars.lastNameIndex;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
PROBAND_DB;proband.personParticulars.dateOfBirthHash;DATE_HASH;;;;;;;;proband.personParticulars.dateOfBirthHash;EQ, NE
PROBAND_DB;proband.personParticulars.yearOfBirth;LONG;;;;;;;;proband.personParticulars.yearOfBirth;EQ, NE, GT, GE, LT, LE
PROBAND_DB;proband.personParticulars.gender;STRING;Sex;getSexes;getName;getSex.name;;;;proband.personParticulars.gender;EQ, NE
PROBAND_DB;proband.animalParticulars.animalName;STRING;;;;;;;;proband.animalParticulars.animalName;EQ, NE, GT, GE, LT, LE, LIKE, ILIKE
PROBAND_DB;proband.animalParticulars.dateOfBirth;DATE;;;;;;;;proband.animalParticulars.dateOfBirth;EQ, NE, GT, GE, LT, LE
PROBAND_DB;proband.animalParticulars.gender;STRING;Sex;getSexes;getName;getSex.name;;;;proband.animalParticulars.gender;EQ, NE
#PROBAND_DB;proband.available;BOOLEAN;;;;;;;;proband.available;EQ, NE
PROBAND_DB;proband.person;BOOLEAN;;;;;;;;proband.person;EQ, NE
PROBAND_DB;proband.blinded;BOOLEAN;;;;;;;;proband.blinded;EQ, NE
PROBAND_DB;proband.physician.id;LONG;;;;;;;STAFF_DB;proband.physician.id;EQ, NE, IS_NULL, IS_EQ_CONTEXT_IDENTITY_ID
PROBAND_DB;proband.deferredDelete;BOOLEAN;;;;;;;;proband.deferredDelete;EQ, NE
PROBAND_DB;proband.category.locked;BOOLEAN;;;;;;;;proband.category.locked;EQ, NE
#PROBAND_DB;proband.recruitmentForOtherTrialsAllowed;BOOLEAN;;;;;;;;proband.recruitmentForOtherTrialsAllowed;EQ, NE
PROBAND_DB;proband.privacyConsentStatus.id;LONG;PrivacyConsentStatusType;getAllPrivacyConsentStatusTypes;getName;getId;;;;proband.privacyConsentStatus.id;EQ, NE
PROBAND_DB;proband.privacyConsentStatus.autoDelete;BOOLEAN;;;;;;;;proband.privacyConsentStatus.autoDelete;EQ, NE
PROBAND_DB;proband.autoDeleteDeadline;DATE;;;;;;;;proband.autoDeleteDeadline;EQ, NE, GT, GE, LT, LE
